ID,0,1
air_fright,18.0,1.0
backward,9.0,10.0
backwardness,11.0,9.0
bad_word,18.0,3.0
byte,20.0,
clefting,20.0,
do_a_barrel_roll,18.0,1.0
don_t_go_backward,13.0,7.0
don_t_go_forward,9.0,13.0
don_t_go_left,17.0,3.0
don_t_go_right,11.0,10.0
drawback,19.0,1.0
drive_ahead,15.0,5.0
drive_backward,18.0,4.0
drive_forward,14.0,6.0
drive_left,15.0,5.0
drive_right,11.0,9.0
felt,15.0,5.0
forward,13.0,8.0
forwardness,12.0,8.0
fright,10.0,9.0
go_away,7.0,13.0
go_back,7.0,14.0
go_backward,18.0,3.0
go_forward,3.0,18.0
go_left,16.0,4.0
go_on,5.0,15.0
go_right,9.0,11.0
grith,18.0,1.0
left,12.0,10.0
left_hander,20.0,
left_right,11.0,9.0
leftmost,21.0,
manufactured,13.0,8.0
move_backward,17.0,3.0
move_forward,11.0,9.0
move_left,15.0,6.0
move_right,12.0,9.0
placard,15.0,5.0
right,6.0,14.0
right_away,11.0,10.0
right_hander,20.0,
right_left,11.0,9.0
rightmost,21.0,
scan_left,19.0,1.0
scan_right,18.0,2.0
stop,3.0,15.0
straightforward,15.0,5.0
theft,16.0,2.0
turn_left,12.0,8.0
turn_right,12.0,9.0
wright,20.0,
write,19.0,
your_word,11.0,9.0
